Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",204.0000,-60.0000,90.0000,bottom
"C2","470n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",205.7500,-65.7500,-90.0000,bottom
"R1","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",200.5000,-61.7500,-90.0000,bottom
"R2","2k4","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",202.2500,-61.7500,90.0000,bottom
"R3","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",214.2500,-63.2500,-90.0000,bottom
"R4","2k4","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",216.0000,-63.2500,90.0000,bottom
"R5","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",227.7500,-80.7500,0.0000,bottom
"R6","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",227.7500,-79.2500,0.0000,bottom
"R7","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",227.7500,-77.7500,0.0000,bottom
"R8","62k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",214.2500,-59.5000,-90.0000,bottom
"R9","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",216.0000,-59.5000,90.0000,bottom
"R10","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",203.8500,-69.6500,-90.0000,bottom
"R11","20k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",205.5500,-69.6500,90.0000,bottom
"R12","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",201.5500,-53.9500,0.0000,bottom
"R13","20k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",205.2500,-53.9500,0.0000,bottom
"R14","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",227.7500,-82.2500,0.0000,bottom
"R15","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",227.7500,-83.7500,0.0000,bottom
"R16","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",227.7500,-85.2500,0.0000,bottom
"U2","STM32F030F4Px","TSSOP-20_4.4x6.5mm_P0.65mm",208.7500,-60.0000,180.0000,bottom
"U3","XC6206P332MR","SOT-23",208.5000,-66.0000,-90.0000,bottom
